泛红|fànhóng|1&#9;to blush2&#9;to redden3&#9;flushed
慷慨激昂|kāngkǎi-jī'áng|IDIOMimpassioned; vehement&#20182;&#30340;&#19968;&#30058;&#35805;&#24951;&#24936;&#28608;&#26114;, &#38750;&#24120;&#24863;&#20154;&#12290;t&#257; de y&#299; f&#257;n hu&#224; k&#257;ngk&#462;ij&#299
滋长|zīzhǎng|VERBgrow; develop&#28363;&#38271;&#21644;&#24179;&#40635;&#30201;&#24605;&#24819;z&#299;zh&#462;ng h&#233;p&#237;ng m&#225;b&#236; s&#299;xi&#462;ngengender a false sense of security&#38450;&#27490;&#
伤号|shānghào|NOUN[usu. among army personnel] the wounded
傻头傻脑|shǎtóu-shǎnǎo|ADJECTIVE1&#9;foolish-looking2&#9;muddleheaded
撅|juē|VERB1&#9;stick up&#25733;&#22068;ju&#275;zu&#464;pout (one&#8217;s lips)&#25733;&#30528;&#23614;&#24052;Ju&#275; zhe w&#283;ibaraise the tail2&#9;COLLOQUIALembarrass openly; contradict&#25733;&#20154;
花痴|huāchī|1&#9;to be smitten with sb2&#9;love-struck fool3&#9;starry-eyed infatuation
独大|dúdà|1&#9;to dominate over all others2&#9;to wield all the power3&#9;to reign supreme
改观|gǎiguān|VERBchange the appearance (or face) of; take on a new look&#22823;&#20026;&#25913;&#35266;d&#224;w&#233;i g&#462;igu&#257;nchange considerably&#36825;&#19968;&#32988;&#21033;&#20351;&#25112;&#20105;&#
远走高飞|yuǎnzǒu-gāofēi|IDIOMfly far and high; be off to distant parts; flee to faraway places
摆架子|bǎi//jiàzi|VERBCOLLOQUIALput on airs; give oneself airs; self-importance&#25670;&#33457;&#26550;&#23376;b&#462;i hu&#257;ji&#224;ziFIGURATIVEpresent an attractive facade but in reality lack substance&#25670;&#31
倒影|dàoyǐng|NOUNinverted image; inverted reflection in water
小白脸|xiǎobáiliǎn|NOUNPEJORATIVEyoung fair face&#8212;handsome, effeminate young man
机舱|jīcāng|NOUN1&#9;engine room (of a ship)2&#9;passenger compartment (of an aircraft); cabin
截屏|jiépíng|(computing) screenshot; to take a screenshot
滔滔|tāotāo|ADJECTIVE1&#9;torrential; surging&#30333;&#28010;&#28372;&#28372;B&#225;i l&#224;ng t&#257;ot&#257;owhitecaps surging2&#9;keep up a constant flow of words; voluble
毒枭|dúxiāo|NOUNdrug baron (or lord, kingpin); top drug trafficker
露馅|lòuxiàn|1&#9;to leak2&#9;to expose (sb's secret)3&#9;to spill the beans4&#9;to let the cat out of the bag
壁橱|bìchú|NOUNbuilt-in wardrobe or cupboard; closet
余韵|yúyùn|NOUNremaining grace; lingering charm&#20313;&#38901;&#19981;&#20943;&#24403;&#24180;y&#250;y&#249;n b&#249; ji&#462;n d&#257;ngni&#225;nas graceful as before
招生|zhāo//shēng|VERBenrol new students; recruit students
