この漢字の筆順は分かりますか？|わ|漢字を書くときの画の順序を指します。日本語教育や書道の場面で重要な概念です。
こんなに物価が上昇していては、生活が苦しくなるばかりです|くる|物の値段や値打ち、あるいは物事の重要さを表す言葉です。「価値」「価格」などの複合語の構成要素としても使われます。
こんなに赤字が続くと、この会社は倒産のおそれがある|とうさん|「社」は「やしろ」と読み、神社の建物そのものを指す。「じんじゃ」が神社全体を指すのに対し、「社」は特に社殿を意味する。
こんな新しい発想はあのデザイナーならではのものです。|はっそう|新しい考えやアイデアを思いつくこと。物事の捉え方。
こんな狭苦しい部屋からは一刻も脱出したいよ。|だっしゅつ|身体的・精神的な苦痛や困難で息苦しい様子を表します。物理的な圧迫感から経済的・精神的な苦境まで幅広く使われます。
こんな美味しい料理は母親ならではのものです。|ははおや|物事の筋道や道理、正しい道理のことです。自然科学の分野では「原理」や「法則」という意味でも使われます。
こんな高価な贈り物、頂きかねます。|いただ|物の値段や値打ち、あるいは物事の重要さを表す言葉です。「価値」「価格」などの複合語の構成要素としても使われます。
こん畜生|ちくしょう|「こん畜生」は、非常に強い怒りや悔しさを表す罵倒語です。主に男性が使う荒い言葉で、公の場や目上の人に対して使うことはできません。アニメや漫画の台詞でよく見られますが、実際の会話では非常に乱暴な印象を与えます。
ごくんと|ごくんと|「ごくんと」は、液体を一気に飲み込む時の音や動作を表すオノマトペです。喉を鳴らして飲む様子を表します。
ごそごそ|ごそごそ|「ごそごそ」は、物を引きずったり探し回ったりする時の微かな物音を表すオノマトペです。落ち着かない動作にも使います。
ごちゃごちゃ|ごちゃごちゃ|「ごちゃごちゃ」は、物が整頓されずに乱雑に混ざっている状態や、話や考えが整理されていない状態を表すオノマトペです。「部屋がごちゃごちゃ」「頭の中がごちゃごちゃ」「ごちゃごちゃと説明する」など、物理的にも抽象的にも使われます。良い状態を表すことはほとんどなく、片付けや整理の必要性を示唆します。「散らかっている」より少しカジュアルで、ややイライラや困惑の感情を伴うことが多いです。
ごった返す|かえ|「ごった返す」は、多くの人や物が入り混じって、混乱している状態を表します。特に人が大勢集まって雑然としている様子を指し、お祭りや駅の構内などで使われます。やや古風な響きのある語です。
ごにょごにょ|ごにょごにょ|「ごにょごにょ」は、はっきり聞き取れないように小声でぶつぶつ言う様子を表すオノマトペです。言いにくいことを濁して言うときに使われます。
ごまかす|ごまかす|「ごまかす」は、真実を隠して人を騙したり、誤魔化したりすることを意味します。また、不完全なものを一時的に見栄えよく取り繕う意味でも使われます。カジュアルな日常会話でよく使われる動詞です。
ごみの分別|ふんべつ|物事の善悪や道理をわきまえる判断力、または物を種類ごとに分けることを指します。
ご予約に際し、クレジットカードの番号および有効期限などの情報が必要です。|ひつよう|物事の最も重要な部分や中心となる点を指します。扇子の要（かなめ）が起源で、そこから「肝心な点」の意味に転じました。
ご免あそばせ|めん|「ご免あそばせ」は、上記の意味を持つ日本語の語彙です。この言葉は、日常会話から書き言葉まで幅広い文脈で使われます。
ご報告かたがた一度伺いたいのですが。。|うかが|物事の経過や結果を、関係者に伝えることを表します。仕事や学校で頻繁に使われる言葉です。
ご多忙中|たぼうちゅう|「ご多忙中」は、相手が非常に忙しいことを敬って表現する挨拶言葉です。ビジネスレターやメールの書き出しで「ご多忙中とは存じますが」のように使われ、相手の忙しさを考慮した上で依頼をする際の定型句です。
ご愁傷様|さま|「ご愁傷様」は、誰かが身近な人を亡くした際に、その悲しみに対して哀悼の意を表す挨拶言葉です。葬式や通夜などの場で使われるフォーマルな表現で、日常会話では「お悔やみ申し上げます」と共に使われます。
ご意見はないということは賛成ということですね|さんせい|「賛成」はある意見や提案に対して同意することを表します。会議や議論の場で、相手の意見に同意する意思表示として使われます。反対の対義語で、ビジネスや政治の場面でよく使われる基本的な語です。
ご感想をお聞かせ下さい。|くだ|「感想」は、物事を見たり、聞いたり、経験したりした後に感じたことや考えたことを表す言葉です。読書感想文、映画の感想、旅行の感想など、様々な体験に対して使われます。主観的な意見や印象を含む点で、客観的な「評価」や「批評」とは異なります。日常会話で非常によく使われる基本的な語彙です。
ご挨拶かたがた、一言を礼を述べさせていただきます。|の|短い言葉や一つの言葉を指します。感謝や意見を簡潔に述べる場面でよく使われる、日常的な表現です。
ご注文の品は明日出荷致します。|いた|注は「本文の補足説明や注釈」を意味します。書籍や論文の脚注や末尾注として使われます。また、口頭での「ちゅうい（注意）」とは異なり、文書上の注釈を指します。学術的な文書やビジネス文書でよく見られます。
ご無沙汰|ぶさた|ご無沙汰は、長い間連絡を取っていなかったことに対する詫びや、久しぶりの再会の挨拶として使われる表現です。「ご無沙汰しています」と言えば、「しばらく連絡せずにすみません」という気持ちを丁寧に伝えられます。主に手紙やメールの書き出し、久しぶりに会った人への挨拶として用いられます。
ご縁|えん|人と人との運命的なつながりや関係を丁寧に表した言葉です。結婚や出会いなどに使われます。
ご飯を炊く|た|「ご飯を炊く」は、米を水で炊いてご飯を調理することを意味する日常的な表現です。炊飯器や鍋を使って米を加熱し、日本人の主食であるご飯を準備する基本的な調理動作を指します。
さくっと|さくっと|「さくっと」は手際よく素早く行動する様子を表すオノマトペです。面倒なことを短時間で片付けるイメージがあります。
ささくれ立つ|た|「ささくれ立つ（ささくれだつ）」は、文字通りには木材や皮膚の表面がささくれて粗くなることを意味しますが、比喩的に人の心や感情がイライラして落ち着かず、ちょっとしたことで傷ついたり怒ったりしやすい状態を表します。「彼の心はささくれ立っていた」というように、精神的な不安定さや苛立ちを繊細に描写する文学的な表現です。
さざれ波|なみ|さざれ波は、水面に立つ小さなさざ波や漣（さざなみ）のことを指します。静かな湖や穏やかな海面に見られる、風によって生じる細かい波紋を詩的に表現する言葉です。古くから和歌や文学作品で用いられ、静けさや繊細な美しさを感じさせます。日常会話よりは、歌詞や詩などの芸術的な文脈で使われることが多いです。
さざれ石|いし|「さざれ石」は、小さな石や砂利のことを指します。また、長い年月をかけて小さな石が集まって固まった大きな岩のことも「さざれ石」と呼び、国歌「君が代」の歌詞にも登場する日本の伝統的な言葉です。
さしあたって|さしあたって|今のところ、当面は、という意味の副詞です。緊急ではないが、まずはこれで間に合わせるというニュアンスがあります。
さしあたって、ここで待つべきです|ま|今のところ、当面は、という意味の副詞です。緊急ではないが、まずはこれで間に合わせるというニュアンスがあります。
さしずめ|さしずめ|
さじを投げる|な|「投げ」は、物を投げる動作や、相撲の技としての「投げ」、また物事を投げ出す（諦める）意味があります。
さす|さす|液体を容器などに注ぐことを意味する口語表現です。「注ぐ」よりもカジュアルです。
さすがの彼もその問題には匙を投げた|な|「匙を投げる」は、手に負えなくなってあきらめること。医者が治療を断念する時に匙を置いたことから来た慣用句。
さすが毎日トレーニングしているだけあってすごい体力。&nbsp;|たいりょく|液体を容器などに注ぐことを意味する口語表現です。「注ぐ」よりもカジュアルです。
さぞ|さぞ|相手の状況を想像して、きっとそうだろうと推測する気持ちを表す副詞です。共感や同情を含む場合が多いです。
さぞ　・　さぞや　・　さぞかし|さぞ　・　さぞや　・　さぞかし|相手の状況を想像して、「きっと〜だろう」と共感や同情を表す副詞です。話し言葉でよく使われます。
さぞかし|さぞかし|相手の状況を想像して、「きっと〜だろう」と共感や同情を表す副詞です。話し言葉でよく使われます。
さなか|さなか|「さなか」はある出来事や状態が最も盛り上がっている最中を指します。「試合のさなか」「議論のさなか」のように、何かが進行している真っ只中であることを表すやや書き言葉的な表現です。
さまよえる|さまよえる|「さまよえる」は、「さまよう」（目的もなく歩き回る）の連体形で、定まった目標や居場所がなく、不安定に動き回っている状態を表します。「さまよえる魂」「さまよえるオランダ人」のように、文学的な響きを持つ表現で、孤独や不安のニュアンスがあります。
さも|さも|「いかにも」と同義の副詞。典型的な様子や当然の様子を強調します。やや文語的で、古風な響きがあります。
さもないと (Grammar)|さもないと( Grammar)|「いかにも」と同義の副詞。典型的な様子や当然の様子を強調します。やや文語的で、古風な響きがあります。
さもなくば|さもなくば|「さもなくば」は、「そうでなければ」という意味のやや古風な接続詞です。法令や契約書などの形式的な文書や、小説の書き言葉として使われることが多く、日常会話ではあまり使われません。
さらけ出す|だ|隠していたことや内面を、包み隠さず全て露わにすること。自分の弱みや本音、秘密などを曝け出すというニュアンスが強い。隠していたネガティブな要素を「さらす」（expose）という発想から。開放的・正直な行為だが、リスクも伴う。
さらば|さらば|「さらば」は、別れの際に使われる古風な挨拶で、「さようなら」の古い形です。現代の日常会話ではほとんど使われませんが、文学や時代劇、またはユーモラスな文脈で用いられることがあります。やや劇的で芝居がかった響きがあります。
さらり|さらり|「さらり」は、物事が滑らかで滞りなく進む様子や、軽くあっさりと行動する様子を表す副詞です。水分が少なくさらっとした触感や、気持ちの切り替えが早い態度などにも使われます。
