横付け　する|よこづ|車や船などを目的の場所のすぐ横に寄せて止めることを意味します。
正攻法|せいこうほう|回りくどい方法ではなく、正面から取り組む正当で標準的な方法を指します。問題解決や交渉、ゲームなどの戦術について話す時に使われます。
正教|せいきょう|「正教」は、主に東方正教会（ギリシャ正教、ロシア正教など）を指すキリスト教の一派です。カトリックやプロテスタントとは異なる教義と儀式を持ちます。
正方形|せいほうけい|「正方形」は、四つの辺の長さがすべて等しく、四つの角がすべて直角である四角形を指します。
正方形の紙を用意しましょう。|ようい|「正方形」は、四つの辺の長さがすべて等しく、四つの角がすべて直角である四角形を指します。
正月には餅を食べますよ。|た|もち米を蒸してつくった日本の伝統的な食品です。お正月や祝い事でよく食べられます。
正気|しょうき|「正気」は、正常な精神状態や判断力を持っていることを指します。「正気の沙汰ではない」という慣用表現が有名で、非常識な行為に対して使われます。日常会話ではやや固い響きがあります。
正気になる|しょうき|「正気になる」は、意識を失っていた状態や、混乱した精神状態から正常な意識に戻ることを意味します。気絶した後や、強いショックから立ち直った時、または非常識な行動をやめて現実的な判断ができるようになることを指します。
正犯|せいはん|正犯は、刑法の用語で、自ら犯罪行為を実行した人のことを指します。教唆犯や従犯と区別される概念です。
正直|しょうじき|嘘や偽りがなく、ありのままの心や態度を表す言葉です。形容動詞としても名詞としても使われ、人柄を評価する場面でよく登場します。
正真正銘の|しょうしんしょうめい|偽物ではなく、間違いなく本物であることを強く強調する言葉。疑いの余地が一切ないことを示す。
正確|せいかく|「正確」は、間違いがなく、事実や基準にぴったり合っている様子を表す形容動詞（ナ形容詞）です。時計の時刻、計測の数値、情報の内容など、様々な場面で使われる基本的な言葉です。
正確と性格は同音だが別の言葉だ|ことば|同じ発音のこと。特に「同音異義語」のように、発音は同じでも意味が異なる単語を説明するときによく使われる。
正確無比|せいかくむひ|「正確無比」は、誤りがまったくなく、比べるものがないほど正確であることを意味する四字熟語です。「無比」は「比べるものがない」という意味で、非常に高い精度を強調する表現です。機械や計算、測定などに対して使われることが多いです。
正社員|せいしゃいん|会社と無期雇用契約を結び、フルタイムで働く従業員を指します。パートや契約社員と対比して使われる、雇用形態に関する言葉です。
正統|せいとう|正当な血筋や流れをくむ正しい系統という意味で、学問や芸術の流派、王朝の継承などに使われます。
正絹|しょうけん|「正絹」は、純粋な絹素材であることを示す言葉です。化学繊維や混紡ではなく、100%シルクで作られたことを保証する品質表示です。着物や高級生地の分野で使われます。
正義|まさよし|道徳的に正しいこと、公平で公正な状態を指します。個人の信念や社会のルールに基づいて「何が正しいか」を判断する概念です。正義感が強い人は、不正や不公平を許せない傾向があります。
正装|せいそう|「正装」は、公式な場や儀式などにふさわしい正式な服装を指します。礼服やスーツ、和装では着物などが該当します。結婚式や卒業式、ビジネスの正式な会合などで求められるドレスコードです。フォーマルな場面で使われる言葉です。
正規化|せいきか|「正規化」は、データや数値を一定の基準に合わせて標準化する処理を指します。コンピューターサイエンスや統計学でよく使われる用語です。
正規表現|せいきひょうげん|
正視|せいし|正視は、まっすぐに見ること、または直視することを意味します。物理的に目をそらさずに見るという意味と、比喩的に「現実や問題を直視する」という意味の両方で使われます。後者の用法では、避けがちな困難や不都合な真実から目を背けずに向き合う姿勢を表し、成熟した態度として評価されます。
正論|せいろん|「正論」は、道理にかなった正しい意見や論理を指しますが、多くの場合は「正論だけでは通用しない」「正論を振りかざす」のように、現実とのギャップを指摘する文脈で使われることが多いのが特徴です。理論的には正しくても、感情や状況を無視しているという含みを持つことがあり、「正しいけど冷たい」という複雑なニュアンスを持ちます。
正負|せいふ|「正負」は、数値や値のプラスとマイナス（正と負）を合わせて指す数学用語です。「正負の数」「正負の符号」のように算数・数学の授業でよく使われます。比喩的に「人生の正負」（＝人生の良い面と悪い面）のように使うこともありますが、基本的には数学の文脈が中心です。理系の話題や、学生時代の勉強の思い出として日常会話に登場することがあります。
正道|せいどう|「正道」は、正しい道や正しい生き方、道理にかなった方法を指します。道徳的・倫理的に正しい選択や行動を表す言葉で、やや硬い書面語的な響きがあります。「正道を歩む」「正道を行く」のように使われます。
正門|せいもん|建物や施設の正面にある主要な入り口のことを指します。
正面|しょうめん|物や建物の向いている方向、または真正面の位置を指します。
