胆嚢|たんのう|肝臓で作られた胆汁を貯める内臓器官。医学用語。「胆嚢炎」などの形で使う。
腰掛け|こしか|座るための簡単な椅子やベンチのことです。また、一時的な仕事や仮の立場という比喩的な意味もあります。
腰掛けはありませんか。|こしか|座るための簡単な椅子やベンチのことです。また、一時的な仕事や仮の立場という比喩的な意味もあります。
腰掛ける|こしか|「腰掛ける」は「座る」の丁寧な言い方で、特に腰を下ろす動作を丁寧に表現するときに使います。日常会話では「座る」が一般的ですが、「腰掛ける」はやや改まった印象を与えます。
腰痛|ようつう|腰の部分に痛みがある状態です。長時間のデスクワークや重い物を持ち上げることなどが原因で起こります。
腱|けん|筋肉と骨を繋ぐ繊維質の組織で、体の動きに重要な役割を果たします。
腱鞘炎|けんしょうえん|手首や指の腱とその周りの腱鞘に炎症が起きる症状を指す医学名詞です。パソコン作業やスマートフォンの使い過ぎで発症することが多く、現代人の職業病とも言われます。
腸|はらわた|消化器官の一部で、食べ物の消化吸収を担う内臓。感情や直感の座として比喩的にも使われ「腸が煮え繰り返る」などの慣用句がある。
腹|はら|「腹（はら）」は体の前面、胸の下から腰の上の部分を指します。内臓を収める部分で、満腹や空腹を感じる場所です。また、「腹が立つ」「腹を決める」などの慣用句でもよく使われます。
腹いせ|はら|「腹いせ」は、怒りや不満を晴らすために他人に嫌がらせをしたり、物に当たったりすることです。「腹が立った」という感情を他の対象に向けて発散する行為を指します。
腹が据わる　・　肝が据わる　・　度胸が据わる|す|「腹（はら）」は体の前面、胸の下から腰の上の部分を指します。内臓を収める部分で、満腹や空腹を感じる場所です。また、「腹が立つ」「腹を決める」などの慣用句でもよく使われます。
腹ごなし|はら|「腹ごなし」は、食後に消化を促すために軽い運動や散歩をすることを指します。
腹づもり|はら|「腹づもり」は、心の中で決めている計画や意図を指します。「腹」という言葉が使われているように、表面的には言わないが内心で考えていることを表します。
腹に抱えてる|腹に抱えてる|「腹に抱える」は、心の中に本音や感情、秘密などを隠したまま表に出さずにいることを意味する慣用表現です。本音と建前を使い分ける日本文化を反映しています。
腹の中|はらのうち|「腹の中」は、表面的な言葉や態度ではなく、心の奥底で本当に考えていることや感じていることを指します。「腹」を感情や本音の器として捉える日本語独自の身体感覚表現です。「腹の中ではそう思っていても、口には出せない」のように、本音と建前のギャップを語る文脈でよく登場します。口語表現で、日常会話でよく使われます。
腹の立つことに。。|た|「腹（はら）」は体の前面、胸の下から腰の上の部分を指します。内臓を収める部分で、満腹や空腹を感じる場所です。また、「腹が立つ」「腹を決める」などの慣用句でもよく使われます。
腹の虫が鳴く|な|「腹（はら）」は体の前面、胸の下から腰の上の部分を指します。内臓を収める部分で、満腹や空腹を感じる場所です。また、「腹が立つ」「腹を決める」などの慣用句でもよく使われます。
腹を下す|くだ|「腹を下す」は、下痢をすることを意味する日常的な表現です。「お腹を壊す」とも言いますが、「腹を下す」はややくだけた言い方です。体調不良の場面で使われ、特に食べ物が原因の場合に多いです。カジュアルな会話でよく使われます。
腹を割りって話をする|はなし|「割り」は、全体に対する比率や割合を表す名詞です。「割りで」という形で「割り勘」の意味でも使われます。また、割引や割増しのように何かの尺度としても用いられます。
腹を括る|くく|「腹を括る」は困難な状況を覚悟して決断することを意味する慣用句です。「括る」は「縛る」という意味で、腹帯を締めて覚悟を決めるイメージから来ています。一度決めたら揺るがない強い意志を表します。
腹を据える|す|「腹を据える」は、困難な状況に対して覚悟を決め、心構えを固めることを意味する慣用句です。「腹」に「決意や覚悟」の意味が込められており、「腹を決める」とほぼ同義ですが、より深く腰を落ち着けて構えるイメージがあります。何か大きな挑戦や危機に直面したときに、「ここで腹を据えて取り組む」という形で使われます。
腹を探る|さぐ|「腹を探る」は、相手の本心や真意を巧妙に引き出そうとする慣用句です。直接的な質問ではなく、遠回しに話を誘導しながら相手の考えを探ります。「腹」はここでは「心の中」「本音」を意味し、ネガティブなニュアンス（策略的・打算的）を含むことが多いです。
腹ペコ|はらぺこ|お腹がとても空いている状態のかジュアルな表現。子供や友達同士でよく使います。「腹ペコペコ」とも。
腹上死|ふくじょうし|性交中に心臓発作などで死亡することを指すストレートな俗語です。
腹下し|はらくだ|下痢やお腹を壊すこと、または下痢を引き起こす薬（下剤）のことを指すややくだけた表現です。
腹心|ふくしん|腹心は、心の内を何でも話せるほど信頼している人のことを指します。「腹心の友」「腹心の部下」のように使われ、単なる友人や同僚を超えた、深い信頼関係にある相手を表します。やや古風で格式のある言葉です。
腹拵え|はらごしら|腹拵えは「何かをする前に食事をとってエネルギーを蓄えること」を意味します。特に大仕事や長時間の活動の前にしっかり食べることを指します。ややカジュアルな表現で、会話の中で使われることが多いです。
