輪ゴム|わごむ|ゴムでできた輪状の文房具で、書類を束ねたり物をまとめたりするのに使います。
退廃|たいはい|「退廃」は、道徳や文化、社会の規範が衰え、乱れた状態を指します。「退廃的な生活」のように、堕落した享楽的な生活態度を批判するときにも使われます。やや硬い文章語で、文学や芸術の批評でも使われます。
退廃的|たいはいてき|道徳や文化の水準が低下し、堕落した様子。もともとは「退廃」（decadence）という名詞＋「的」で、社会や芸術の雰囲気を描写するのに使われる。「退廃的な美しさ」のように、ネガティブだが魅力的な響きもある。文学や美術批評でよく見る表現。
退役|たいえき|「退役」は、軍人や軍用機器が現役を退くことを意味します。主に軍隊の文脈で使われ、「引退」よりフォーマルで専門的です。近年ではスポーツ選手の引退にも「退役」を使うことがありますが、本来は軍関連の用語です。
退散|たいさん|「退散」は、その場から立ち去ること、退くことを意味します。特に、敵や邪魔なものが去っていく時に使われる、やや古風で力強い響きのある言葉です。カジュアルに「お化けが退散した」のようにも使われます。
退治|たいじ|「退治」は、害虫や悪者などを駆除したり、やっつけたりすることを意味します。特に「ゴキブリ退治」「鬼退治」のように、厄介なものを排除するニュアンスが強いです。ゲームや昔話などの文脈でもよく使われます。
退職|たいしょく|「退職」は、会社や組織での勤務を辞めることを正式に表す言葉です。定年退職、自己都合退職、会社都合退職など、理由によって種類が分かれます。より日常的な「辞める」よりもフォーマルで、書類や公式の場面で使われます。
退職したとは言え、毎日やることがたくさんあるので忙しい。|いそが|「退職」は、会社や組織での勤務を辞めることを正式に表す言葉です。定年退職、自己都合退職、会社都合退職など、理由によって種類が分かれます。より日常的な「辞める」よりもフォーマルで、書類や公式の場面で使われます。
退職して悠々自適の生活ができるようになったが、家にばかりこもってもいられないのでボランティアの仕事を始めた。|はじ|「退職」は、会社や組織での勤務を辞めることを正式に表す言葉です。定年退職、自己都合退職、会社都合退職など、理由によって種類が分かれます。より日常的な「辞める」よりもフォーマルで、書類や公式の場面で使われます。
退行|たいこう|「退行」は、発達や進歩が逆戻りすること、または元の状態に戻ることを意味します。心理学や医学でも使われます。
退行テスト|たいこう|「退行テスト」は、ソフトウェア開発において、プログラムの変更や修正が既存の機能に悪影響を与えていないかを確認するテストのことです。英語の「regression test」の訳語で、品質保証の分野で使われる専門用語です。
退路|たいろ|「退路」は、後ろに下がるための道や逃げ道を指します。物理的な通路だけでなく、比喩的に「退路を断つ」のように決意を示す表現でも使われます。
退路を断つ|た|「退路」は、後ろに下がるための道や逃げ道を指します。物理的な通路だけでなく、比喩的に「退路を断つ」のように決意を示す表現でも使われます。
退転|たいてん|「退転」は、後戻りすること、または後退してしまうこと。仏教用語としては「悟りの境地から退く」という意味もあるが、一般には「本来の状態から後退する」意味で使われる。
退避|たいひ|「退避」は、危険を避けて安全な場所に移動することを意味します。災害や戦時の指示でよく使われます。
退院|たいいん|「退院（たいいん）」は、入院している患者が病院を出て自宅などに帰ることを意味する名詞・動詞（「退院する」）です。病気や怪我の治療が終わり医師の許可が出た場合に行われます。対義語は「入院（にゅういん）」です。日常的によく使われる言葉です。
退陣|たいじん|組織の長や責任者がその地位を辞すること、または軍隊が戦線から撤退することを意味します。主に政治家や役員の辞任に対して使われることが多く、やや硬い報道用語です。
送り込む|おくりこ|人や物を目的地に向かって送り届けることを意味する動詞です。ビジネスでは人材を派遣する意味で、軍事では部隊を投入する意味で使われます。
送り迎え|おくりむか|「送り迎え」は、ある場所へ行くときの「送り」と、帰るときの「迎え」の両方を含む行為。特に子供の学校や通勤の送迎など、日常的な移動の補助を指す。口語でよく使われる。
送付する|そうふ|書類や荷物を相手に送り届けること。「送る」より丁寧でビジネス文書的な響きがある。
送別|そうべつ|「送別」は、去っていく人を見送ることを意味し、特に送別会や送別の挨拶など、別れの場面で使われる言葉です。転勤や退職、留学などで別れる際に使われ、少し寂しいけれど相手の門出を祝う温かいニュアンスがあります。
送別の辞は誰に頼みましょうか。|たの|「送別」は、去っていく人を見送ることを意味し、特に送別会や送別の挨拶など、別れの場面で使われる言葉です。転勤や退職、留学などで別れる際に使われ、少し寂しいけれど相手の門出を祝う温かいニュアンスがあります。
