老醜|ろうしゅう|年を取って容貌や言動が醜くなること。かなり厳しい批判のニュアンスがあります。
肩口|かたぐち|「肩口」は肩の上部、首と肩の付け根あたりを指します。衣服の肩の部分や、人の肩の近くを表すときに使われます。日常会話ではあまり頻繁には出てきませんが、体の部位を具体的に表現したいときに便利な言葉です。
肩幅|かたはば|両肩の間の幅のことです。洋服選びや体型の描写でよく使われます。男性は肩幅が広いのが逞しい印象を与え、女性は狭い方が華奢に見えるなど、ファッションや印象に関わる言葉です。
肩当て|かたあ|肩に取り付ける当て布やパッド。スーツの肩パッドや、着物の補強布など。
肩慣らし|かたな|
肩掛け鞄|かばん|肩から掛けて使う鞄の一種。ショルダーバッグと同義。日常的な持ち物を指すカジュアルな語。
肩書|かたがき|社会での地位や役職、資格などを表す名称を指す名詞です。名刺交換や紹介の場面でよく使われるほか、肩書にこだわる人を批判する際にも使われます。
肩書き|かたが|人の社会的な地位や役職を表す称号です。名刺や紹介の場で使われることが多いです。
肩紐|ひも|「肩紐（かたひも）」は、鞄や服などの肩にかけるための紐やストラップを指す名詞です。バッグのショルダーストラップや、下着の肩紐などが代表例です。日常的に使われる具体的な言葉です。
肩肘を張る|は|「肩肘を張る」は、必要以上に構えたり、気取った態度を取ったりすることを意味します。肩や肘に力を入れて硬くなるイメージから、堅苦しく自分を大きく見せようとする姿勢を表します。
肩胛骨|けんこうこつ|「肩胛骨」は、背中の上部にある三角形の骨。「肩甲骨」とも言う。腕の動きに関わる重要な部位。
肩越し|かたご|「肩越し」は、自分の肩の上から後ろや横を見ることを表します。「肩越しに見る」「肩越しに話す」のように、振り返る動作や、隣の人との距離感を表現するときに使います。
肩身|かたみ|「肩身」は、社会における自分の立場や面目、世間体を指します。「肩身が狭い」という形で、恥ずかしい思いをしたり、立場が悪くて居心地が悪い気持ちを表す慣用的な表現でよく使われます。
肩身が広い|ひろ|「肩身が広い」は、誇りに思う、面目が立つ、社会的に自信を持って行動できるという意味の慣用句です。良い成績や地位、評価を得たことで、周囲に胸を張れる状態を表します。
肩車する|かたぐるま|「肩車する」は、人を自分の肩の上に乗せて支える動作を指します。特に子供を肩に乗せて歩く姿がよく見られ、お祭りや花見、パレードなどで人混みの中でもよく見えるようにするための方法です。親子のコミュニケーションの一つとしても楽しいものですが、安全面には注意が必要です。
肩透かし|かたす|
肯定|こうてい|物事をそのまま認めたり、同意したりすること。否定の反対。日常会話からビジネスまで幅広く使われる。
育ち盛り|ざか|
育む|はぐく|「育む」は、大切に世話をして育てる、または守り育てることを意味します。単に「育てる」よりも愛情や保護のニュアンスが強く、子どもだけでなく、植物や才能、友情、夢など様々なものを優しく成長させるイメージです。
育メン|いく|子育てに積極的に参加する男性を指す、比較的新しい言葉です。「育児」＋「メン（men）」の造語で、現代のライフスタイルを反映しています。
育休|いくきゅう|「育児休業」の略で、従業員が子どもの養育のために取得できる休暇制度です。法律で定められており、男女ともに取得可能で、最近は男性の育休取得も推進されています。
育児|いくじ|育児は、乳幼児や子どもを育てることを指します。子育ての専門的な言葉です。
育成|いくせい|「育成」は、人や組織の能力を育て、成長させることを意味します。教育や研修、スポーツの指導などで使われます。
肴|さかな|酒と一緒に楽しむ料理やおつまみのこと。転じて、会話の話題や話のネタという意味もある（「話の肴」）。「魚」と同音だが別の漢字で、語源的には「酒の菜（さかな）」が変化したもの。
肺|はい|「肺」は、呼吸を行うための体内の臓器で、空気中の酸素を血液に取り込み、二酸化炭素を排出する役割を担います。医学や健康の話題でよく使われる基本的な身体部位の名称です。
肺塞栓症|はいそくせんしょう|「肺塞栓症」は肺動脈が血の塊（血栓）などで詰まる重篤な病気です。エコノミークラス症候群として知られる深部静脈血栓症が進行すると肺塞栓症を引き起こす可能性があります。医療用語です。
肺炎|はいえん|肺に炎症が起こる病気。細菌やウイルスの感染によって引き起こされる。
肺腑|はいふ|肺の奥深く、または心の奥底という意味を持つ言葉です。特に「肺腑を衝く」という形で、心の深い部分に突き刺さるような衝撃を与えることを表します。
胃潰瘍|いかいよう|「胃潰瘍」は、胃の粘膜がただれて傷ができる病気を指す医学用語です。ストレスやピロリ菌感染などが原因で起こります。日常会話では「胃に潰瘍ができた」のように言われることもあります。
胃痛|いつう|胃に痛みを感じる症状を指します。ストレスや食べ過ぎ、病気など様々な原因で起こります。
胃腸|いちょう|消化器系の主要器官である胃と腸をまとめて指す医学用語です。「胃腸が弱い」「胃腸薬」のように日常的な健康話題でもよく使われます。
胃袋|いぶくろ|胃のことを親しみを込めて、ややくだけた言い方で表した言葉です。また、比喩的に食べ物を受け入れる容量や欲望を指すこともあります。
