霉菌|méijūn|NOUN MICROBIOLOGY mould; mildew; mycete &#30871;&#26588;&#19978;&#26377;&#19968;&#23618;&#34180;&#34180;&#30340;&#38665;&#33740;&#12290; w&#462;ngu&#236; sh&#224;ng y&#466;u y&#299; c&#233;ng b&#243;b
挂名|guà//míng|nominal; in name only; figureheadNuances:This term describes a position or title held without real responsibilities or power, often for appearance, formality, or honorary purposes. It implies a discon
猜忌|cāijì|"Suspicion and jealousy" (a mix of distrust and envy, often leading to resentment).Nuances:猜忌 (cāi jì) combines 猜 (cāi, "to suspect") and 忌 (jì, "to envy/resent"). It implies not just passive doubt bu
门道|méndao|The Knack / The Tricks of the Trade / A Way (to do something) / Social ConnectionsNuance门道 is a rich, colloquial term that extends beyond its literal meaning of "door and path." It refers to the speci
何乐而不为|hélè'érbùwéi|Why not do it?; There’s no reason not to do it; might as well do it.Nuance: 何乐而不为 expresses a rhetorical question suggesting that an action is enjoyable, beneficial, or harmless, so there’s no reason 
寥寥|liáoliáo|very few; scanty; sparseNuances:This literary term emphasizes an insufficient or disappointingly small quantity, often implying loneliness or desolation. The reduplication (寥寥) intensifies the sense o
毛骨悚然|máogǔ-sǒngrán|IDIOM with one's hair standing on end&#8212;absolutely terrified &#20196;&#20154;&#27611;&#39592;&#24730;&#28982; L&#236;ng r&#233;n m&#225;o g&#468; s&#466;ng r&#225;n send cold shivers down sb.&#821
七弯八拐|qīwānbāguǎi|1&#9;twisting and turning 2&#9;tricky and complicated
探头|tàntóu|To crane one's neck; to peek; a probe/detector.NuanceThe term 探头 has two primary meanings. As a verb, it vividly describes the physical action of stretching out or leaning one's head to look around so
跑腿|pǎotuǐ|To run errands; to do someone’s errands; messenger work.Nuance: 跑腿 refers to performing tasks or errands for others, often involving physical movement such as delivering items, fetching documents, or 
不知死活|bùzhī-sǐhuó|IDIOM act recklessly; do sth. regardless of danger
千真万确|qiānzhēn-wànquè|"absolutely true; beyond any doubt; completely certain"Nuance:千真万确 is a literary and emphatic expression used to assert that something is entirely true or unquestionable. It conveys absolute certainty
舍命|shě//mìng|To risk one’s life; to sacrifice oneself; to give one’s life.Nuance: 舍命 emphasizes extreme courage, selflessness, or devotion, often in dangerous or life-threatening situations. It conveys the idea of
罪证|zuìzhèng|NOUN evidence of a crime; proof of guilt
不知天高地厚|bùzhītiāngāodìhòu|"to be ignorant of one’s own limitations," "to act recklessly or presumptuously"Nuance:不知天高地厚 is an idiomatic expression used to describe someone who overestimates their own abilities or status and ac
话说回来|huàshuōhuílai|(but) then again; (but) on the other hand
阵子|zhènzi|A period of time; a spell; a whileNuance“阵子” is a colloquial measure word referring to a short, often indefinite stretch of time—usually associated with a distinct event, mood, or state. It conveys a 
收成|shōucheng|NOUN harvest; crop &#25910;&#25104;&#19981;&#22909; sh&#333;ucheng b&#249; h&#462;o poor harvests; crop failures &#20174;&#26469;&#27809;&#26377;&#36807;&#30340;&#22909;&#25910;&#25104; c&#243;ngl&#22
捐助|juānzhù|VERB offer (financial or material assistance); contribute; donate &#25424;&#21161;&#36139;&#22256;&#23398;&#29983; ju&#257;nzh&#249; p&#237;nk&#249;n xu&#233;sheng offer help to poverty-stricken stude
骰子|tóuzi|Dice (singular or plural)Nuance“骰子” refers to the small, cube-shaped objects with numbered dots on each face, used in games, gambling, decision-making, or probability demonstrations. The term is neutr
肠子|chángzi|NOUN intestines
灯下黑|dēngxiàhēi|Darkness under the lamp; overlooking what is close at handNuance灯下黑 is a metaphorical idiom meaning that something right under one’s eyes is easily overlooked. Just as the area directly beneath a lamp
混迹|hùnjì|"to drift along," "to muddle through life," "to linger in (a social circle)" (suggests an idle, aimless, or unremarkable existence, often with a negative or passive connotation).Nuance:This term impli
探望|tànwàng|To visit (someone, especially when they are ill, imprisoned, or in need of care); to call on.Nuance: 探望 emphasizes visiting someone out of concern, care, or duty, often in formal or compassionate cont
功利|gōnglì|Utilitarian; mercenary; single-mindedly pursuing material success or immediate benefitNuance:功利 describes an attitude or approach that prioritizes practical results, material gain, and immediate utili
烟馆|yānguǎn|NOUN DATED opium den
一应俱全|yīyīng-jùquán|IDIOM everything needed is there &#26085;&#29992;&#30334;&#36135;&#19968;&#24212;&#20465;&#20840;&#12290; R&#236;y&#242;ng b&#462;ihu&#242; y&#299;y&#299;ngj&#249;qu&#225;n. All varieties of goods for
秘而不宣|mì'érbùxuān|IDIOM keep sth. secret; secretive; confidential (opp. &#20844;&#20043;&#20110;&#19990;)
惨案|cǎn'àn|NOUN massacre &#20116;&#21317;&#24808;&#26696; W&#468; s&#224; c&#462;n'&#224;n the May 30th Massacre (in Shanghai, 1925)
魔窟|mókū|NOUN den of monsters; lair of evildoers
大本营|dàběnyíng|NOUN 1&#9;supreme headquarters 2&#9;base camp &#30331;&#23665;&#38431;&#22823;&#26412;&#33829; d&#275;ngsh&#257;ndu&#236; d&#224;b&#283;ny&#237;ng the base camp of a mountaineering expedition
少言寡语|shǎoyán-guǎyǔ|IDIOM be reticent &#23569;&#35328;&#23521;&#35821;&#30340;&#20154; sh&#462;oy&#225;ngu&#462;y&#468; de r&#233;n a man of few words
土包子|tǔbāozi|NOUN COLLOQUIAL clodhopper; (country) bumpkin
