相继|xiāngjì|ADVERB in succession; one after another &#20195;&#34920;&#20204;&#30456;&#32487;&#21457;&#35328;&#12290; D&#224;ibi&#462;o men xi&#257;ngj&#236; f&#257;y&#225;n. The delegates spoke one after another.
光明|guāngmíng|brightness; light; hope; integrityNuances:"光明" carries both literal (physical light) and metaphorical meanings (hope, moral purity). It often symbolizes positivity, transparency, or righteousness, use
用心|yòng//xīn|Attentive; conscientious; careful; put one’s heart intoNuance: 用心 emphasizes the effort, care, and sincerity someone puts into an action or task. It conveys not just diligence, but also thoughtfulness
手榴弹|shǒuliúdàn|NOUN MILITARY hand grenade; grenade &#26397;&#20154;&#32676;&#25172;&#20102;&#19968;&#39063;&#25163;&#27060;&#24377; ch&#225;o r&#233;nq&#250;n r&#275;ng le y&#299; k&#275; sh&#466;uli&#250;d&#224;n t
教会|jiāohuì|1&#9;to show 2&#9;to teach
登月|dēng//yuè|VERB land on the moon
丧失|sàngshī|To lose; to forfeit; to be deprived of.Nuance: 丧失 refers to the loss of something important, such as rights, abilities, opportunities, or possessions. It often carries a formal or serious tone, emphas
调理|tiáoli|“To nurse back to health,” “to regulate,” or “to adjust.”Nuance调理 has a broad meaning centering on the idea of regulating, harmonizing, or improving a condition. In traditional Chinese medicine and da
拜你所赐|bàinǐsuǒcì|1&#9;(derog.) this is all thanks to you! 2&#9;well, thanks a lot!
住手|zhù//shǒu|VERB stay one's hand; stop &#20182;&#19981;&#20570;&#23436;&#19981;&#32943;&#20303;&#25163;&#12290; T&#257; b&#249; zu&#242; w&#225;n b&#249; k&#283;n zh&#249;sh&#466;u. He won&#8217;t stop until he f
小屁孩|xiǎopìhái|1&#9;kid 2&#9;youngster 3&#9;(derog.) brat
出手|chū//shǒu|To Make a Move / To Reach Out / To Give Away / To Make an Opening MoveNuance出手 is a versatile verb with a core meaning of initiating an action with one's hands, often implying skill, generosity, or in
没法|méifǎ|1&#9;at a loss 2&#9;unable to do anything about it 3&#9;to have no choice
何方|héfāng|where?
翘首|qiáoshǒu|VERB LITERARY raise one's head and look &#32728;&#39318;&#26143;&#31354; qi&#225;osh&#466;ux&#299;ngk&#333;ng look up at the starry sky
探究|tànjiū|VERB make a thorough inquiry; probe into &#25506;&#31350;&#21407;&#22240; t&#224;nji&#363; yu&#225;ny&#299;n look into the causes
难缠|nánchán|ADJECTIVE (of a person) unreasonable and hard to deal with; ticklish
迎战|yíngzhàn|VERB meet (an approaching enemy) head-on &#36814;&#25112;&#24378;&#25163; y&#237;ngzh&#224;n qi&#225;ngsh&#466;u face one&#8217;s tough opponent
钳子|qiánzi|NOUN 1&#9;pliers; pincers; forceps 2&#9;DIALECT earrings
强悍|qiánghàn|Sturdy / Robust / Fierce / FormidableNuance强悍 is an adjective that describes someone or something as exceptionally strong, tough, and resilient, often with a connotation of physical prowess, unyieldin
脱落|tuōluò|To fall off; to shed; to come looseNuance:脱落 describes the process of something becoming detached and falling off from where it was attached. It can refer to hair, teeth, paint, leaves, or any object 
少许|shǎoxǔ|ADJECTIVE a little; a few; a modicum &#24448;&#21654;&#21857;&#37324;&#25918;&#23569;&#35768;&#31958; W&#462;ng k&#257;f&#275;i l&#464; f&#224;ng sh&#462;ox&#468; t&#225;ng add a little sugar to the c
替身|tìshēn|NOUN 1&#9;substitute; replacement; stand-in 2&#9;scapegoat
手把手|shǒubǎshǒu|ADVERB (give instructions) in person; (teach sb.) personally &#25163;&#25226;&#25163;&#22320;&#25945;&#20182;&#23398;&#30005;&#33041; sh&#466;ub&#462;sh&#466;u de ji&#257;o t&#257; xu&#233; di&#224;nn
