魁梧|kuíwu|ADJECTIVE big and tall; stalwart &#39745;&#26791;&#30340;&#36523;&#36527; ku&#237;wu de sh&#275;nq&#363; be of great stature &#36523;&#37327;&#39745;&#26791; sh&#275;nliang ku&#237;wu of great height 
指控|zhǐkòng|VERB accuse; charge &#26377;&#20154;&#25351;&#25511;&#20182;&#32435;&#36159;&#12290; Y&#466;ur&#233;n zh&#464;k&#242;ng t&#257; n&#224;hu&#236;. He&#8217;s been accused of taking bribes.
委靡不振|wěimǐ-bùzhèn|dispirited; listless; in low spiritsNuances:Describes a state of physical or mental lethargy, often due to disappointment, illness, or exhaustion.Example Sentences:他失业后一直委靡不振，整天待在家里。(After losing his 
乞怜|qǐlián|VERB beg for pity (or mercy)
腔调|qiāngdiào|NOUN 1&#9;THEATER tune &#20140;&#21095;&#30340;&#33108;&#35843; J&#299;ngj&#249; de qi&#257;ngdi&#224;o tunes of Beijing opera 2&#9;PEJORATIVE tone of voice &#20182;&#35762;&#36215;&#35805;&#26469;&#1
乘凉|chéng//liáng|VERB enjoy the cool; relax in a cool place
捉拿|zhuōná|VERB arrest; catch &#25417;&#25343;&#24402;&#26696; zhu&#333;n&#225; gu&#299;'&#224;n arrest and bring a criminal to justice &#25417;&#25343;&#36867;&#29359; zhu&#333;n&#225; t&#225;of&#224;n arrest a
冒失|màoshi|ADJECTIVE rash; abrupt; reckless &#35828;&#35805;&#20882;&#22833; shu&#333;hu&#224; m&#224;oshi speak without due consideration &#36825;&#26679;&#20882;&#20882;&#22833;&#22833;&#21435;&#25214;&#20182;
末尾|mòwěi|NOUN 1&#9;end &#20449;&#30340;&#26411;&#23614; x&#236;n de m&#242;w&#283;i at the end of the letter (&#25490;&#38431;)&#25490;&#22312;&#26411;&#23614; p&#225;idu&#236; p&#225;i z&#224;i m&#242;w&#283;
分道扬镳|fēndào-yángbiāo|IDIOM go different ways; part company
招牌|zhāopai|signboard;招牌菜 signature dish; trademarkNuances:This versatile term can refer to a physical store sign, a business's distinctive offering (especially in food), or metaphorically to someone's characteri
欲罢不能|yùbà-bùnéng|unable to stop even if one wants to; irresistibly compelledNuances:This idiom describes a state where one is so engrossed or addicted to an activity that stopping feels impossible, despite potential n
比比皆是|bǐbǐ-jiēshì|IDIOM can be found everywhere; all around &#22909;&#20154;&#22909;&#20107;, &#27604;&#27604;&#30342;&#26159;&#12290; H&#462;or&#233;nh&#462;osh&#236;, b&#464;b&#464;ji&#275;sh&#236;. Good people and g
稳妥|wěntuǒ|safe and reliable; steady and secureNuances:This term describes methods, plans, or people that are thoroughly dependable, emphasizing a absence of risk. It combines 稳 (stable) and 妥 (proper/settled), 
捉摸|zhuōmō|VERB fathom; ascertain [usu. in the negative] &#25417;&#25720;&#19981;&#23450; Zhu&#333;m&#333; b&#249;d&#236;ng difficult to ascertain; unpredictable; elusive; hard to figure out &#25417;&#25720;&#20
屏风|píngfēng|NOUN screen &#25240;&#21472;&#23631;&#39118; zh&#233;di&#233; p&#237;ngf&#275;ng folding screen
流逝|liúshì|VERB (of time) pass; elapse &#38543;&#30528;&#26102;&#38388;&#30340;&#27969;&#36893; su&#237;zhe sh&#237;ji&#257;n deli&#250;sh&#236; with the passage of time &#26102;&#20809;&#27969;&#36893;&#12290; 
矫情|jiáoqing|ADJECTIVE DIALECT quarrelsome; contentious; unreasonable
语句|yǔjù|Sentence / Phrase / StatementNuance语句 is a general term referring to a grammatically complete string of words that expresses a thought, which can be a sentence, a clause, or sometimes a phrase. It is 
拳击|quánjī|boxing (sport)Nuances:Refers to the combat sport where two opponents fight with gloved fists in a ring.Example Sentences:他每天训练六小时，梦想成为职业拳击手。(He trains six hours daily, dreaming of becoming a professio
砰然|pēngrán|ADJECTIVE LITERARY with a bang; with a thump
神圣|shénshèng|Sacred; holy; hallowed.Nuance神圣 is a powerful adjective that describes something regarded as holy, inviolable, or deserving of the utmost respect and reverence. It is used for religious contexts (sacr
推翻|tuī//fān|VERB 1&#9;overthrow; overturn; topple &#25512;&#32763;&#24093;&#22269;&#20027;&#20041;, &#23553;&#24314;&#20027;&#20041;&#21644;&#23448;&#20698;&#36164;&#26412;&#20027;&#20041;&#30340;&#32479;&#27835;
神志不清|shénzhìbùqīng|Confused, delirious, not clear-headedNuance神志不清 describes a state in which a person’s consciousness, awareness, or mental clarity is impaired. It is often used in medical or serious contexts, such as 
贪污|tānwū|VERB embezzle; practise graft; be corrupt &#36138;&#27745;&#30423;&#31363; t&#257;nw&#363; d&#224;oqi&#232; graft and embezzlement &#36138;&#27745;&#33104;&#21270; t&#257;nw&#363;-f&#468;hu&#224; corr
转换|zhuǎnhuàn|To convert; to switch; to transformNuance:转换 is a neutral, formal verb that describes the process of changing something from one form, state, system, or role to another. It implies a systematic or fun
照例|zhàolì|as usual; as a rule; according to conventionNuances:Indicates that an action follows habit, routine, or established practice.Example Sentences:周末早晨，他照例去公园跑步。(On weekend mornings, he goes for a run in 
声势|shēngshì|Momentum; Power and Influence; ImpetusNuanceThe word 声势 combines “声” (sound, reputation) and “势” (force, momentum), and it refers to the overall impact, scale, or imposing presence of an action, event
流传|liúchuán|to circulate; to spread (of stories, traditions, or information)Nuances:Describes information or customs passing through time or across groups, often organically.Example Sentences:这个神话在民间流传了千年。(This m
编写|biānxiě|VERB 1&#9;compile &#32534;&#20889;&#25945;&#31185;&#20070; bi&#257;nxi&#283; ji&#224;ok&#275;sh&#363; compile a textbook 2&#9;write; compose &#32534;&#20889;&#27468;&#21095; bi&#257;nxi&#283; g&#275;j
家常便饭|jiācháng-biànfàn|IDIOM 1&#9;plain home cooking; simple meal &#22312;&#36825;&#20799;&#21507;&#21320;&#39277;&#21543;, &#23478;&#24120;&#20415;&#39277;&#12290; Z&#224;i zh&#232;r ch&#299; w&#468;f&#224;n ba, ji&#257;ch
天平|tiānpíng|NOUN balance; scales
烧心|shāoxīn|Heartburn; burning sensation in the chest; (figuratively) to feel bitter or upsetNuance“烧心” is most commonly used in everyday speech to describe heartburn—a burning, sour, or uncomfortable sensation r
沟壑|gōuhè|Gully; ravine; deep ditch or gorge (in the earth).Nuance沟壑 is a noun that refers to a deep, narrow channel cut into the earth by water erosion, often found in mountainous or hilly terrain. It carries 
恩准|ēnzhǔn|Gracious Permission; Imperial Consent; Approval Granted by a SuperiorNuanceThe word 恩准 is a formal and somewhat archaic expression that literally means “permission granted as a favor.” Historically, i
结巴|jiēba|NOUN stammerer; stutterer; one who stammers VERB GENERAL NAME FOR VARIANT OF &#21475;&#21507; stutter; stammer stammer; stutter &#20182;&#19968;&#30528;&#24613;&#23601;&#32467;&#24052;&#12290; t&#257;
披露|pīlù|To disclose, to reveal, to make publicNuance披露 is a formal term often used in legal, governmental, journalistic, or business contexts to describe the act of making information public, especially when 
侵吞|qīntūn|VERB 1&#9;embezzle; misappropriate &#20405;&#21534;&#20844;&#27454; q&#299;nt&#363;n g&#333;ngku&#462;n embezzle public funds &#20405;&#21534;&#31038;&#20250;&#36130;&#23500; q&#299;nt&#363;n sh&#232;
掩盖|yǎngài|To cover up; to conceal; to hide.Nuance: 掩盖 emphasizes deliberately hiding or masking something, often to prevent others from noticing, discovering, or knowing the truth. It can refer to physical conc
瘫软|tānruǎn|To become weak and limp; to collapse (from fear, exhaustion, or illness).Nuance瘫软 is a vivid verb that describes a complete loss of physical strength and muscle tone, causing the body or a limb to go 
抵达|dǐdá|to arrive; to reachNuances:This formal term emphasizes the completion of a journey or process to a specific destination. It’s often used for significant arrivals (e.g., diplomatic, logistical) rather 
飞扬|fēiyáng|VERB 1&#9;fly upward; rise &#23576;&#22303;&#39134;&#25196; Ch&#233;nt&#468; f&#275;iy&#225;ng clouds of dust flying up &#21040;&#22788;&#39134;&#25196;&#30528;&#27426;&#20048;&#30340;&#27468;&#22768;
曲折|qūzhé|Winding / Tortuous / Full of Twists and TurnsNuance曲折 is an adjective that literally describes something as being bent, winding, or zigzagging in form, like a mountain path or a river. Figuratively, a
履行|lǚxíng|To fulfill; to carry out; to perform (one's duty, promise, contract)Nuance:履行 is a formal verb that describes the act of carrying out a responsibility, obligation, promise, or contractual agreement. I
每每|měiměi|Often; frequently; on many occasionsNuance:每每 is a literary and slightly formal adverb used to describe an action or situation that recurs repeatedly over time. It carries a stronger sense of "time an
尖刻|jiānkè|Acrimonious; biting; caustic (of speech or criticism).Nuance尖刻 is an adjective used to describe language that is sharp, harsh, and deliberately hurtful. The character 尖 (sharp, pointed) conveys the im
疟疾|nüèji|NOUN malaria; ague &#24694;&#24615;&#30111;&#30142; &#232;x&#236;ng n&#252;&#232;ji pernicious malaria
曲调|qǔdiào|NOUN tune (of a song); melody
沉思|chénsī|VERB ponder; meditate; be lost in thought &#27785;&#24605;&#40664;&#24819; ch&#233;ns&#299;m&#242;xi&#462;ng be deep in contemplation &#38519;&#20837;&#27785;&#24605;&#20043;&#20013; Xi&#224;nr&#249; 
阔气|kuòqi|ADJECTIVE luxurious; extravagant; lavish &#25670;&#38420;&#27668; b&#462;iku&#242; qi display (or parade) one&#8217;s wealth &#33457;&#38065;&#38420;&#27668; hu&#257;qi&#225;n ku&#242;qi spend lavishl
交叉|jiāochā|VERB 1&#9;intersect; cross; crisscross &#20132;&#21449;&#25215;&#35748; ji&#257;och&#257; ch&#233;ngr&#232;n cross recognition &#20004;&#26465;&#38081;&#36335;&#22312;&#27492;&#20132;&#21449;&#12290; 
