守护神|shǒuhùshén|guardian spirit; tutelary spirit; patron saint
住宿|zhùsù|VERB stay; put up; get accommodation &#32473;&#23458;&#20154;&#23433;&#25490;&#20303;&#23487; G&#283;i k&#232;ren &#257;np&#225;i zh&#249;s&#249; find lodgings (or arrange accommodation) for the visit
后援|hòuyuán|NOUN reinforcements; backup force; backing
疏散|shūsàn|VERB evacuate; disperse &#21450;&#26102;&#30095;&#25955;&#20154;&#32676; J&#237;sh&#237; sh&#363;s&#224;n r&#233;nq&#250;n disperse the crowds in time ADJECTIVE sparse; scattered; dispersed &#30095;&#
清空|qīngkōng|To Empty; To Clear Out; To VacateNuanceThe word 清空 describes the act of removing everything from a place, container, or system so that nothing remains inside. It can be used in both physical and abstr
交头接耳|jiāotóu-jiē'ěr|To Whisper to One Another / To Speak in Hushed VoicesNuance交头接耳 is a vivid idiom that describes two or more people leaning close together to whisper privately, often with a sense of secrecy, gossip, o
看不惯|kànbuguàn|VERB cannot tolerate; dislike; show disgust for; look askance at (opp. &#30475;&#24815;) &#22905;&#36825;&#31181;&#25171;&#25198;&#25105;&#21487;&#30475;&#19981;&#24815;&#12290; T&#257; zh&#232;zh&#46
货源|huòyuán|NOUN source of goods; supply of goods &#36135;&#28304;&#20805;&#36275; Hu&#242;yu&#225;n ch&#333;ngz&#250; an ample supply of goods &#24320;&#36767;&#36135;&#28304; k&#257;ip&#236; hu&#242;yu&#225;n f
人渣|rénzhā|NOUN dregs; social trash; scum
偏巧|piānqiǎo|by coincidence; as luck would have it; unfortunatelyNuances:This term describes an unexpected and often ironic alignment of circumstances, which can be either fortuitous or inconvenient depending on c
娇惯|jiāoguàn|To spoil, to pamper excessivelyNuance娇惯 refers to treating someone, usually a child, with excessive indulgence or pampering, to the point that it negatively affects their character or behavior. It sug
火力|huǒlì|NOUN MILITARY firepower; fire &#21457;&#25196;&#28779;&#21147; f&#257;y&#225;ng hu&#466;l&#236; make full use of firepower
扫荡|sǎodàng|To Mop Up / To Sweep Away / To Raze / To Go on a Shopping Spree (colloquial)Nuance扫荡 carries a strong connotation of thorough, systematic, and often aggressive removal or destruction. Its primary mean
踪影|zōngyǐng|NOUN [usu. in the negative] trace; sign &#36394;&#24433;&#20840;&#26080; z&#333;ngy&#464;ngqu&#225;nw&#250; disappear tracelessly &#20982;&#25163;&#27627;&#26080;&#36394;&#24433;&#12290; Xi&#333;ngsh&
黑乎乎|hēihūhū|ADJECTIVE 1&#9;black; blackened &#28385;&#25163;&#27833;&#27877;, &#40657;&#31946;&#31946;&#30340; M&#462;n sh&#466;u y&#243;un&#237;, h&#275;ih&#363;h&#363; de hands dirty with grease &#22681;&#29071
连发枪|liánfāqiāng|repeating rifle; magazine gun
碎屑|suìxiè|NOUN oddments; crumbs
帅呆了|shuàidāile|Extremely handsome; stunningly cool; drop-dead gorgeous.Nuance帅呆了 is a colloquial exclamation used to praise someone, especially a man, for being exceptionally good-looking or stylish. The term combin
疑似|yísì|suspected to be; seemingly; probable but unconfirmedNuances:"疑似" is used to describe situations where something appears to be a certain way but lacks definitive proof. Common in medical (e.g., suspect
同归于尽|tóngguīyújìn|IDIOM perish together; suffer a common downfall
冲锋|chōngfēng|VERB charge; assault &#25171;&#36864;&#25932;&#20154;&#30340;&#20914;&#38155; D&#462; tu&#236; d&#237;r&#233;n de ch&#333;ngf&#275;ng beat back the enemy assault &#22312;&#25913;&#38761;&#20013;, &#20
重整|chóngzhěng|1&#9;to restructure 2&#9;to reorganize 3&#9;to revamp
布防|bù//fáng|VERB place troops on garrison duty; organize a defence
一举|yījǔ|in one move; with a single actionNuances:This term describes achieving a significant outcome through one decisive effort, emphasizing efficiency and impact. It often implies a well-timed action that r
抗命|kàng//mìng|To defy orders; to disobey commands.Nuance: 抗命 refers to the act of deliberately refusing to follow instructions or orders from a superior. It emphasizes intentionality and often carries legal, milita
怀抱|huáibào|"to embrace/hold in one's arms," "to cherish (hopes, dreams, etc.)" (literally means physical embrace; figuratively implies nurturing aspirations or deep emotional attachment).Nuance:The term blends p
悼词|dàocí|NOUN memorial speech &#33268;&#24764;&#35789; Zh&#236; d&#224;oc&#237; deliver a memorial speech
准星|zhǔnxīng|Front sight (of a firearm); aiming bead.Nuance准星 is a noun that refers to the front sight post or bead on a firearm used for aiming. In shooting, aligning the 准星 with the rear sight (照门) and the targe
尖端|jiānduān|NOUN pointed end; acme; peak &#26631;&#26538;&#30340;&#23574;&#31471; bi&#257;oqi&#257;ng de ji&#257;ndu&#257;n the point of a javelin ADJECTIVE most advanced; sophisticated &#23574;&#31471;&#20135;&#
地动山摇|dìdòng-shānyáo|IDIOM earthshaking
