一带|yīdài|NOUN neighbour area &#27743;&#21335;&#19968;&#24102;&#38632;&#37327;&#20805;&#36275;&#12290; Ji&#257;ngn&#225;n y&#299;d&#224;i y&#468;li&#224;ng ch&#333;ngz&#250;. The area south of the Yangtze River
狂欢|kuánghuān|Revelry; carnival; to celebrate wildly.Nuance: 狂欢 conveys an atmosphere of extreme joy and unrestrained celebration, often involving large groups of people in a festive setting. Unlike 普通的“庆祝” (to cel
放过|fàngguò|VERB let sb. off; let sth. slip by &#20915;&#19981;&#20900;&#26505;&#19968;&#20010;&#22909;&#20154;, &#20063;&#20915;&#19981;&#25918;&#36807;&#19968;&#20010;&#22351;&#20154; ju&#233;b&#249; yu&#257;nw
开小差|kāi//xiǎochāi|to be distracted; to let one’s mind wander (originally: to desert from the army)Nuances:This colloquial term originally meant deserting military duty, but now primarily describes mental inattention—wh
自暴自弃|zìbào-zìqì|to abandon oneself to despair; to give up on self-improvementNuances:This vivid idiom describes a state of complete self-neglect—often after failure or trauma—where one actively rejects hope, effort, 
合上|héshàng|to close (box, book, mouth etc)
怕生|pà//shēng|VERB (of a child) be shy with strangers
道谢|dào//xiè|VERB express one's thanks; thank
溜走|liūzǒu|VERB COLLOQUIAL leave stealthily; slip (or sneak) away; slope (or slink) off &#23567;&#20599;&#20056;&#20154;&#27809;&#27880;&#24847;&#28316;&#25481;&#20102;&#12290; xi&#462;ot&#333;u ch&#233;ng r&#23
溜掉|liū//diào|To slip away; to sneak off; to escape unnoticed.Nuance溜掉 is a colloquial verb that describes leaving a place quietly, quickly, and without being noticed, often to avoid something unpleasant or to esca
鼓励|gǔlì|VERB encourage; urge &#32769;&#24072;&#40723;&#21169;&#22823;&#23478;&#22810;&#35828;&#33521;&#35821;&#12290; L&#462;osh&#299; g&#468;l&#236; d&#224;ji&#257; du&#333; shu&#333; Y&#299;ngy&#468;. Our t
贸然|màorán|rashly; hastily; without careful considerationNuances:This adverb describes actions taken impulsively, often leading to negative consequences due to lack of forethought. It carries a tone of criticism
和睦相处|hémùxiāngchǔ|To live together in harmony; to get along peacefullyNuance“和睦相处” expresses the idea of maintaining peaceful, friendly, and respectful relationships among people—whether in families, communities, or wo
认命|rèn//mìng|VERB accept one's fate; resign oneself (or be resigned) to fate &#25105;&#24635;&#26159;&#19981;&#36208;&#36816;, &#21482;&#22909;&#35748;&#21629;&#20102;&#12290; W&#466; z&#466;ngsh&#236; b&#249; z&#
食肉|shíròu|carnivorous
素食者|sùshízhě|vegetarian
宝藏|bǎozàng|Treasure; hidden treasureNuance:宝藏 originally referred to valuable hidden treasures, such as gold, jewels, or artifacts. In modern usage, the term has been enthusiastically adopted in online and youth
触动|chùdòng|VERB 1&#9;touch sth., moving it slightly &#20182;&#22312;&#26263;&#20013;&#25720;&#32034;&#30528;, &#24573;&#28982;&#35302;&#21160;&#20102;&#20160;&#20040;&#19996;&#35199;&#12290; T&#257; z&#224;i &#2
没戏|méi//xì|No chance; hopeless; not going to happen.Nuance: 没戏 is an informal, colloquial expression used to indicate that something has no hope of success or will definitely not happen. It’s commonly used in ca
洁白|jiébái|ADJECTIVE spotlessly (or pure) white &#27905;&#30333;&#30340;&#26700;&#24067; ji&#233;b&#225;i de zhu&#333;b&#249; spotlessly white tablecloth
纯净|chúnjìng|ADJECTIVE pure; clean &#32431;&#20928;&#30340;&#27700;&#26159;&#36879;&#26126;&#30340;&#12290; Ch&#250;nj&#236;ng de shu&#464; sh&#236; t&#242;um&#237;ng de. Pure water is transparent. VERB purify
点缀|diǎnzhuì|To Adorn / To Embellish / To Decorate SparinglyNuance点缀 is a verb that describes the act of adding small decorative elements to something to enhance its beauty or interest without overwhelming the ori
压强|yāqiáng|NOUN PHYSICS intensity of pressure
比起|bǐqǐ|compared with
抖动|dǒudòng|VERB shake; tremble; vibrate
怀念|huáiniàn|to cherish the memory of; to miss nostalgicallyNuances:This term describes a deep, emotional longing for someone or something from the past, often with a bittersweet tone. It implies a affectionate at
排版|pái//bǎn|VERB PRINTING compose; typeset &#30005;&#33041;&#25490;&#29256; di&#224;nn&#462;o p&#225;ib&#462;n computer composition &#29031;&#30456;&#25490;&#29256; zh&#224;oxi&#224;ng p&#225;ib&#462;n photocompo
触碰|chùpèng|1&#9;to touch 2&#9;(fig.) to touch on (a matter)
淘气|táo//qì|Naughty / MischievousNuance淘气 is an adjective used to describe children (or occasionally pets) who are playful, mischievous, and prone to minor acts of disobedience or causing harmless trouble. It car
摇摆|yáobǎi|VERB sway; swing; rock; vacillate; wave &#36814;&#39118;&#25671;&#25670; y&#237;ngf&#275;ng y&#225;ob&#462;i sway in the breeze &#24038;&#21491;&#25671;&#25670; zu&#466;-y&#242;u y&#225;ob&#462;i vaci
清澈|qīngchè|Clear; limpid; transparent (of water, air, sound, etc.).Nuance清澈 is an adjective that describes a pure, unclouded, and transparent quality, most commonly applied to water, allowing one to see clearly 
温馨|wēnxīn|ADJECTIVE soft and sweet; warm &#28201;&#39336;&#30340;&#26149;&#22812; w&#275;nx&#299;n de ch&#363;n y&#232; a balmy spring evening &#28201;&#39336;&#30340;&#24773;&#35850; w&#275;nx&#299;n de q&#237
默契|mòqì|NOUN secret agreement &#20851;&#20110;&#36825;&#20010;&#38382;&#39064;&#21452;&#26041;&#26366;&#26377;&#40664;&#22865;&#12290; Gu&#257;ny&#250; zh&#232;ge w&#232;nt&#237; shu&#257;ngf&#257;ng c&#233;n
错开|cuò//kāi|VERBstagger (times) &#25226;&#26085;&#23376;&#38169;&#24320;B&#462; r&#236;zi cu&#242;k&#257;istagger the days off&#19977;&#22330;&#29699;&#36187;&#24212;&#38169;&#24320;&#36827;&#34892;&#12290;S&#257
消防|xiāofáng|VERB 1&#9;firefighting &#28040;&#38450;&#35774;&#22791; xi&#257;of&#225;ng sh&#232;b&#232;i firefighting equip-ment &#28040;&#38450;&#28436;&#20064; xi&#257;of&#225;ng y&#462;nx&#237; fire drill &#211
放肆|fàngsì|ADJECTIVE unbridled; wanton &#25918;&#32902;&#35820;&#34065; f&#224;ngs&#236; w&#363;mi&#232; wantonly vilify &#25918;&#32902;&#30340;&#34892;&#20026; F&#224;ngs&#236; de x&#237;ngw&#233;i unbridled b
僵直|jiāngzhí|Stiff; rigid; (of limbs or body) unable to bend or move.Nuance僵直 is an adjective that describes a state of physical rigidity where a body part or the entire body becomes stiff and immobile. It is ofte
背影|bèiyǐng|The view of someone's back; a receding figureNuance:背影 is more than just a physical description; it is a deeply evocative word in Chinese, often imbued with emotion and nostalgia. It specifically refe
发呆|fā//dāi|VERB stare blankly; be in a daze (or trance) &#20182;&#35805;&#20063;&#19981;&#35828;, &#22352;&#22312;&#37027;&#37324;&#21457;&#21574;&#12290; T&#257; hu&#224; y&#283; b&#249; shu&#333;, zu&#242; z&#
划掉|huàdiào|1&#9;to cross out 2&#9;to cross off
热身|rè//shēn|VERB warm up; limber up
热身赛|rèshēnsài|SPORTS warm-up game (or match)
舒畅|shūchàng|Happy, carefree, relaxed, untroubledNuance舒畅 describes a pleasant state of mind or body, where one feels relaxed, free of burdens, and emotionally at ease. It can refer to both physical comfort—such a
花坛|huātán|NOUN (raised) flower bed; flower terrace
