暖意|nuǎnyì|warmth
于心不忍|yúxīn-bùrěn|to be unable to bear it in one's heart; to find it too cruelNuances:This idiom describes a conflict where one feels compelled to act against a harsh decision due to inner compassion or guilt. It impli
真心实意|zhēnxīn-shíyì|IDIOM genuinely and sincerely; truly and whole-heartedly &#30495;&#24515;&#23454;&#24847;&#22320;&#20026;&#20154;&#27665;&#35851;&#31119;&#21033; Zh&#275;nx&#299;nsh&#237;y&#236; de w&#232;i r&#233;nm
支开|zhīkāi|To send away; to dismiss; to get someone out of the wayNuance:支开 is a colloquial verb that means to send someone away or get them to leave temporarily, often for a specific purpose, such as creating p
漏洞|lòudòng|NOUN 1&#9;leak; crack &#34917;&#28431;&#27934; b&#468; l&#242;ud&#242;ng patch a leak &#22581;&#28431;&#27934; d&#468; l&#242;ud&#242;ng stop (or plug) a leak &#26816;&#26597;&#19968;&#19979;&#31649;&
夸大其词|kuādà-qící|To exaggerate; to overstate; to make something sound more important or dramatic than it is.Nuance: 夸大其词 literally means “to exaggerate one’s words.” It is typically used to criticize speech or descrip
较量|jiàoliàng|VERB 1&#9;measure one's strength (with); have a contest; have a trial (or test) of strength &#32463;&#36807;&#21453;&#22797;&#36739;&#37327; J&#299;nggu&#242; f&#462;nf&#249; ji&#224;oli&#224;ng after
听不进去|tīngbùjìnqu|1&#9;not to listen 2&#9;to be deaf to
活口|huókǒu|NOUN 1&#9;survivor of a murder attempt 2&#9;prisoner who can furnish information 3&#9;flexible attitude; indefinite VERB keep body and soul together; eke out an existence
盲点|mángdiǎn|NOUN 1&#9;PHYSIOLOGY blind spot; scotoma 2&#9;ELECTRONICS blindness 3&#9;FIGURATIVE blind spot; unrecognized spot &#27861;&#24459;&#19978;&#30340;&#30450;&#28857; f&#462;l&#476; sh&#224;ng dem&#225;ng
纵火|zònghuǒ|Arson; to set on fire deliberatelyNuance:纵火 is a formal legal term that refers to the criminal act of intentionally setting fire to property, structures, or land. It carries a heavy negative connotati
烧毁|shāohuǐ|VERB destroy by fire; burn up; burn down &#28903;&#27585;&#31192;&#23494;&#25991;&#20214; Sh&#257;ohu&#464; m&#236;m&#236; w&#233;nji&#224;n burn up the secret documents
岸上|ànshàng|1&#9;ashore 2&#9;on the riverbank
就近|jiùjìn|ADVERB (do or get sth.) nearby; in the neighbourhood; without having to go far &#23601;&#36817;&#25214;&#20010;&#20303;&#22788; ji&#249;j&#236;n zh&#462;o ge zh&#249;ch&#249; find accommodation nearby
二心|èrxīn|disloyalty; half-heartedness; divided allegianceNuances:This term describes a lack of wholehearted commitment, often implying secret disloyalty or wavering dedication. It suggests that one's true inte
轮休|lúnxiū|VERB 1&#9;(of land) lie fallow in rotation 2&#9;(-//-) have holidays by turns; rotate days off; stagger holidays
喷射|pēnshè|VERB 1&#9;spray; spurt; jet &#21943;&#23556;&#28779;&#28976; p&#275;nsh&#232; hu&#466;y&#224;n spurt flames 2&#9;MECHANICS injet
骷髅|kūlóu|NOUN 1&#9;human skeleton 2&#9;human skull; death's head
混账|hùnzhàng|bastard; scoundrel; worthless person (strong insult)Nuances:This term is a severe insult accusing someone of being immoral, dishonest, or contemptible. It implies moral worthlessness and often express
撤离|chèlí|VERB withdraw from; leave; evacuate &#25764;&#31163;&#29616;&#22330; ch&#232;l&#237; xi&#224;nch&#462;ng quit the scene &#25764;&#31163;&#38453;&#22320; ch&#232;l&#237; zh&#232;nd&#236; abandon a posi
火势|huǒshì|NOUN intensity of a fire &#28779;&#21183;&#24456;&#29467;&#12290; Hu&#466;sh&#236; h&#283;n m&#283;ng. The fire burned fiercely.
湿透|shī//tòu|VERB wet through; drenched &#27735;&#27700;&#28287;&#36879;&#20102;&#20182;&#30340;&#34915;&#26381;&#12290; H&#224;nshu&#464; sh&#299; t&#242;u le t&#257; de y&#299;fu. His clothes are drenched with s
报信|bào//xìn|to deliver a message; to send wordNuances:This term refers to the act of conveying information, often urgent or important news, through direct or indirect means. It implies a role as a messenger.Examp
大张旗鼓|dàzhāng-qígǔ|"with great fanfare," "on a grand scale," "in a big, conspicuous way"Nuance: 大张旗鼓 describes an action carried out in a very public, conspicuous, and often dramatic manner, typically to attract attenti
驱逐|qūzhú|VERB drive out; expel; banish &#39537;&#36880;&#20986;&#22659; q&#363;zh&#250;ch&#363;j&#236;ng deport; expel &#39537;&#36880;&#20405;&#30053;&#32773; q&#363;zh&#250; q&#299;nl&#252;&#232;zh&#283; dri
棋子|qízǐ|NOUN piece (in a board game); chessman
沁|qìn|To seep, to permeate, to soak intoNuance沁 describes the gentle penetration or diffusion of liquid, fragrance, or feeling into something. It often conveys a subtle, refreshing, or soothing quality. In 
帮凶|bāngxiōng|accomplice; accessory to a crimeNuances:Implies shared guilt by assisting or enabling wrongdoing, whether actively or passively.Example Sentences:他虽未动手，却是这起抢劫案的帮凶。(Though he didn’t act directly, he wa
伏击|fújī|VERB ambush &#20239;&#20987;&#25932;&#20154; f&#250;j&#299; d&#237;r&#233;n ambush the enemy &#36827;&#34892;&#20239;&#20987; j&#236;nx&#237;ng f&#250;j&#299; attack from (an) ambush &#36973;&#21040;&
大专|dàzhuān|Junior college; associate degree programNuance:大专 is an abbreviated term for 大学专科 (college-level specialized program). It refers to tertiary education that is more practical and vocationally oriented 
拉拢|lālong|To win over, to rope in, to curry favor withNuance拉拢 describes the act of trying to bring someone to one’s side, usually through persuasion, flattery, or favors. It often carries a negative or strateg
